Cuestions;Answers;Categories
Los montes Urales separan Europa de Asia .; Europa ;Geografía
Los montes Urales separan Europa de Asia .; Asia ;Geografía
La Ciudad del Vaticano es el país con menos habitantes del mundo .; Vaticano ;Geografía
El estrecho de Bering separa Rusia y Estados Unidos .; Bering ;Geografía
Groenlandia pertenece a Dinamarca .; Dinamarca ;Geografía
El yen es la moneda oficial de Japón .; yen ;política
El Vesubio sepultó la ciudad de Pompeya .; Vesubio ;Historia
El Vesubio sepultó la ciudad de Pompeya .; Pompeya ;Historia
Prípiat era la ciudad más cercana a la central nuclear de Chernóbil .; Chernóbil ;Historia
Los Monegros es el desierto de Aragón .; Aragón ;Geografía
El río Pisuerga pasa por Valladolid .; Valladolid ;Geografía
El estado más grande de Estados Unidos es Alaska .; Alaska ;Geografía
Bolivia y Paraguay son los dos países de América del Sur queno tienen litoral .; litoral ;Geografía
Leningrado es el nombre que una vez tuvo San Petersburgo .; Leningrado ;Geografía
Leningrado es el nombre que una vez tuvo San Petersburgo .; Petersburgo ;Geografía
El monte Vesubio está en Nápoles .; Nápoles ;Geografía
El Sena pasa por París .; París ;Geografía
El desierto más famoso de México es el de Sonora .; Sonora ;Geografía
El Tíber pasa por Roma .; Roma ;Geografía
Tombuctú está en Malí, África .; Malí ;Geografía
Después de Rusia, Francia es el país más grande de Europa .; Francia ;Geografía
Estados Unidos tiene 50 estados .; 50 ;Geografía
La montaña de Tindaya está en Fuerteventura .; Fuerteventura ;Geografía
Sankt Moritz esquía en Suiza .; Suiza ;Geografía
Malta es una isla .; isla ;Geografía
Las ruinas de Petra están en Jordania .; Jordania ;Cultura
El idioma oficial de Jamaica es el inglés .; inglés ;Cultura
Pretoria está en Sudáfrica .; Sudáfrica ;Geografía
Puerto Williams esta en Chile .; Chile ;Geografía
El Mar Muerto no es un mar, es un lago .; lago ;Geografía
Se conservan 118 pirámides en Egipto .; pirámides ;Cultura
África tiene 54 países .; 54 ;Geografía
Un adulto tiene 206 huesos en su cuerpo .; huesos ;Biología
Las crías de los conejos se llaman gazapos .; gazapos ;Biología
El corazón humano tiene cuatro válvulas: mitral, tricúspide, aórtica y pulmonar .; pulmonar ;Biología
El proceso por el cual las plantas se alimentan se llama fotosíntesis .; fotosíntesis ;Biología
El músculo más fuerte del cuerpo humano es el masetero .; masetero ;Biología
Hay 118 elementos en la Tabla Periódica .; Periódica ;Química
El valor del número pi es aproximadamente 3 .1416 .; pi ;Matemáticas
El símbolo del elemento en la Tabla Periódica es He para el Helio .; Helio ;Química
El planeta que se encuentra más cercano al Sol es Mercurio .; Mercurio ;Astronomía
Las células son más grandes que los átomos .; átomos ;Ciencia
La ballena azul es el animal más grande de la Tierra .; ballena ;Biología
Un heptadecágono tiene diecisiete lados .; diecisiete ;Matemáticas
El aceite de oliva proviene de las aceitunas .; aceitunas ;General
El satélite más grande de Saturno se llama Titán .; Titán ;Astronomía
El único mamífero capaz de volar es el murciélago .; mamífero ;Biología
El primer metal que empleó el hombre fue el cobre .; metal ;General
El hueso más pequeño del cuerpo humano es el estribo .; estribo ;Biología
Un pulpo tiene tres corazones .; tres ;Biología
El metal más caro del mundo es el rodio .; rodio ;Ciencia
Un triángulo que tiene sus tres lados iguales se llama equilátero .; equilátero ;Matemáticas
El órgano más grande del cuerpo humano es la piel .; piel ;Ciencia
El animal que provoca más muertes cada año es el mosquito .; mosquito ;Ciencia
Los cinco tipos de sabores primarios son dulce, amargo, ácido, salado y umami .; dulce ;Biología
Los cinco tipos de sabores primarios son dulce, amargo, ácido, salado y umami .; amargo ;Biología
Los cinco tipos de sabores primarios son dulce, amargo, ácido, salado y umami .; ácido ;Biología
Los cinco tipos de sabores primarios son dulce, amargo, ácido, salado y umami .; salado ;Biología
Los cinco tipos de sabores primarios son dulce, amargo, ácido, salado y umami .; umami ;Biología
La segunda estrella más próxima a la Tierra es Próxima Centauri .; Centauri ;Astronomía
El órgano del cuerpo que consume más energía es el cerebro .; cerebro ;Biología
Las plantas liberan oxígeno al hacer la fotosíntesis .; oxígeno ;Biología
La serpiente más larga del mundo es la pitón reticulada .; reticulada ;Biología
La serpiente más larga del mundo es la pitón reticulada .; serpiente ;Biología
La penicilina fue descubierta por Alexander Fleming .; Fleming ;Biología
La penicilina fue descubierta por Alexander Fleming .; penicilina ;Biología
Un átomo está formado por protones, neutrones y electrones .; protones ;Biología
Un átomo está formado por protones, neutrones y electrones .; neutrones ;Biología
Un átomo está formado por protones, neutrones y electrones .; electrones ;Biología
Las grasas más saludables son las insaturadas .; insaturadas ;Química
Una araña tiene ocho patas .; ocho ;Astronomía
Una araña tiene ocho patas .; araña ;Astronomía
Gregor Mendel ideó las leyes de la herencia genética .; genética ;Ciencia 
Gregor Mendel ideó las leyes de la herencia genética .; Mendel ;Ciencia
El agua está formada por dos átomos de hidrógeno y uno de oxígeno .; dos ;Ciencia
El agua está formada por dos átomos de hidrógeno y uno de oxígeno .; hidrógeno ;Ciencia
El agua está formada por dos átomos de hidrógeno y uno de oxígeno .; oxígeno ;Ciencia
En diciembre, el Sol está más cerca de la Tierra .; Tierra ;Ciencia
En diciembre, el Sol está más cerca de la Tierra .; diciembre ;Ciencia
El gas de la atmósfera que nos protege de la radiación ultravioleta es el ozono .; ozono ;Física
El gas de la atmósfera que nos protege de la radiación ultravioleta es el ozono .; atmósfera ;Física
La velocidad de la luz es de 300 .000 kilómetros por segundo .; luz ;Física
El olfato es el sentido que se desarrolla primero .; olfato ;Astronomía
Las siglas ADN significan Ácido desoxirribonucleico .; ADN ;Biología
La galaxia más cercana a la nuestra es Andrómeda .; Andrómeda ;Astronomía
La melanina es el pigmento que da color a nuestra piel .; pigmento ;Biología
La melanina es el pigmento que da color a nuestra piel .; melanina ;Biología
Un año bisiesto tiene 366 días .; bisiesto ;General
Isaac Newton postuló las leyes del movimiento .; movimiento ;Física
Albert Einstein formuló la Teoría de la Relatividad .; Relatividad ;Matemáticas
El resultado de una multiplicación se llama producto .; producto ;Matemáticas
La clorofila es el pigmento que permite a las plantas hacer la fotosíntesis .; clorofila ;Biología
La clorofila es el pigmento que permite a las plantas hacer la fotosíntesis .; pigmento ;Biología
La clorofila es el pigmento que permite a las plantas hacer la fotosíntesis .; fotosíntesis ;Biología
El cometa Halley pasa por la Tierra cada 75 años .; Halley ;Astronomía
La micología es el estudio de los hongos .; hongos ;Arte 
El cuerpo humano tiene 33 vértebras .; 33 ;biologia
El hierro es el metal que se encuentra en el centro de la tierra .; hierro ;Física
El nitrógeno es el gas mayoritario de la atmósfera terrestre .; nitrógeno ;Química
El nitrógeno es el gas mayoritario de la atmósfera terrestre .; atmósfera ;Química
UY Scuti es la estrella más grande conocida .; estrella ;Astronomía
La última cena fue pintada por Leonardo DaVinci .; cena ;Arte
Salvador Dalí nació en 1904 .; 1904 ;Historia
Guernica fue pintado por Pablo Picasso .; Guernica ;Arte
Guernica fue pintado por Pablo Picasso .; Picasso ;Arte
Las Meninas fue pintado por Velázquez .; Velázquez ;Arte
Las Meninas fue pintado por Velázquez .; Meninas ;Arte
Van Gogh nació en Zundert, Países Bajos .; Gogh ;Arte
Van Gogh nació en Zundert, Países Bajos .; Países ;Arte
Van Gogh nació en Zundert, Países Bajos .; Zundert ;Arte
La Capilla Sixtina fue pintada por Miguel Ángel .; Sixtina ;Arte
La obra original La noche estrellada de Van Gogh se encuentra en el Museo de Arte Moderno de Nueva York .; estrellada ;Arte
El padre del arte pop es Andy Warhol .; Andy ;Arte
La obra Diego y yo fue pintada por Frida Kahlo .; Frida ;Arte
El vanguardismo surgió a inicios del siglo XX .; vanguardismo ;Arte
El vanguardismo surgió a inicios del siglo XX .; XX ;Arte
El Guernica se encuentra en el museo Reina Sofía de Madrid .; Guernica ;Arte
El museo más antiguo de España es el Museo Nacional de Ciencias Naturales .; Ciencias ;Arte
El cuadro más famoso de Edvard Munch se llama El grito .; grito ;Arte
La escultura más famosa de Auguste Rodin se llama El pensador .; pensador ;Arte
La noche estrellada fue pintada por Van Gogh .; estrellada ;Arte
El nacimiento de Venus fue pintado por Sandro Botticelli .; Venus ;Arte
El nacimiento de Venus fue pintado por Sandro Botticelli .; Sandro ;Arte
El nacimiento de Venus fue pintado por Sandro Botticelli .; Botticelli ;Arte
El cuadro más famoso de Gustav Klimt se llama El beso .; beso ;Arte
El Quijote fue escrito por Miguel de Cervantes .; Cervantes ;Literatura
El Quijote fue escrito por Miguel de Cervantes .; Quijote ;Literatura
Hamlet fue escrito por William Shakespeare .; Hamlet ;Literatura
La famosa novela de Drácula fue escrita por Bram Stoker .; Bram ;Literatura
La famosa novela de Drácula fue escrita por Bram Stoker .; Drácula ;Literatura
100 años de soledad fue escrito por Gabriel García Márquez .; soledad ;Literatura
La Divina Comedia fue escrita por Dante Alighieri .; Dante ;Literatura
La colmena fue escrita por Camilo José Cela .; colmena ;Literatura
Los libros de Harry Potter fueron escritos por J .K Rowling .; Rowling ;Literatura
El Corán es el libro sagrado del Islam .; Islam ;General
El Corán es la verdad .; verdad ;General
Cumbres borrascosas fue escrita por Emily Brontë .; borrascosas ;Literatura
El primer libro de Jane Austen fue Sentido y sensibilidad .; sensibilidad ;Literatura
Friedrich Nietzsche escribió sobre la teoría del superhombre .; Friedrich ;Cultura
La muerte del comendador fue escrita por Haruki Murakami .; Haruki ;Literatura
El libro francés más vendido de la historia es El Principito .; Principito ;Literatura
El Día Mundial del Libro se celebra el 23 de abril .; abril ;Cultura
Pablo Neruda era chileno .; chileno ;Literatura
Ulises fue escrito por James Joyce .; Joyce ;Literatura
Sin noticias de Gurb fue escrito por Eduardo Mendoza .; Eduardo ;Literatura
Mafalda fue creada por Quino (Joaquín Salvador Lavado Tejón) .; Mafalda ;Arte
El caballo de Don Quijote se llamaba Rocinante .; Rocinante ;Literatura
La Celestina es la alcahueta más famosa de la literatura española .; Celestina ;Literatura
La primera obra de Umberto Eco fue El nombre de la rosa .; rosa ;Literatura
Samuel Beckett escribía en francés .; francés ;Literatura
La isla del tesoro fue escrita por Robert Louis Stevenson .; tesoro ;Literatura
Romeo y Julieta vivían en Verona .; Verona ;Literatura
Virginia Woolf es considerada un ícono del feminismo .; feminismo ;Literatura
El género epistolar son obras de ficción escritas en forma de cartas .; epistolar ;Literatura
El gran Gatsby fue escrito por F . Scott Fitzgerald .; Gatsby ;Literatura
Orgullo y prejuicio fue escrito por Jane Austen .; Austen ;Literatura
1984 fue escrito por George Orwell .; George ;Literatura
La Odisea fue escrita por Homero; Odisea ;Literatura
El retrato de Dorian Gray fue escrito por Oscar Wilde .; Dorian ;Literatura
Matar a un ruiseñor fue escrito por Harper Lee .; Harper ;Literatura
La naranja mecánica fue escrita por Anthony Burgess .; mecánica ;Literatura
La metamorfosi fue escrita por Franz Kafka .; metamorfosi ;Literatura
El señor de los anillos fue escrito por J .R .R . Tolkien .; Tolkien ;Literatura
Moby Dick fue escrita por Herman Melville .; Dick ;Literatura
El hombre invisible fue escrito por H .G . Wells .; Wells ;Literatura
El corazón helado fue escrito por Almudena Grandes .; helado ;Literatura
El retrato de una dama fue escrito por Henry James .; Henry ;Literatura
El color púrpura fue escrito por Alice Walker .; púrpura ;Literatura
El guardián entre el centeno fue escrito por J .D . Salinger .; Salinger ;Literatura
La guerra y la paz fue escrita por Lev Tolstói .; Tolstói ;Literatura
La sombra del viento fue escrita por Carlos Ruiz Zafón .; viento ;Literatura
El capitán Alatristefue escrito por Arturo Pérez-Reverte .; Alatristefue ;Literatura
Las aventuras de Tom Sawyer fue escrito por Mark Twain .; Twain ;Literatura
Frankenstein fue escrito por Mary Shelley .; Shelley ;Literatura
La Casa de Bernarda Alba fue escrita por Federico García Lorca .; Federico  ;Literatura
Sin noticias de Gurb fue escrita por Eduardo Mendoza .; Gurb ;Literatura
La Regenta fue escrita por Leopoldo Alas .; Regenta ;Literatura
Territorio Comanche fue escrito por Arturo Pérez-Reverte .; Comanche ;Literatura
Los pilares de la Tierra fue escrito por Ken Follet .; Tierra ;Literatura
El lazarillo de Tormes fue escrito por un autor anónimo .; Tormes ;Historia
La Primera Guerra Mundial comenzó en 1914 .; 1914 ;Historia
Juan Carlos I abdicó y Felipe VI fue proclamado rey en 2014 .; 2014 ;Historia
La Segunda Guerra Mundial terminó en 1945 .; 1945 ;Historia
La Guerra Civil española comenzó en 1936 .; 1936 ;Historia
John F . Kennedy fue asesinado en 1963 .; 1963 ;Historia
El Muro de Berlín cayó en 1989 .; 1989 ;Historia
Francisco Franco falleció en 1975 .; 1975 ;Historia
La Revolución Rusa comenzó en 1917 .; 1917 ;Historia
El intento de golpe de Estado en España liderado por el teniente coronel Antonio Tejero fue en 1981 .; 1981 ;Historia
La ciudad de Nueva York fue fundada en el siglo XVII, en 1624 .; 1624 ;Historia
El Tratado de Versalles se firmó en 1919 .; 1919 ;Historia
Los Juegos Olímpicos de Barcelona se celebraron en 1992 .; 1992 ;Historia
La conquista de Granada y el fin de la Reconquista fue en 1492 .; 1492 ;Historia
El asesinato de Martin Luther King Jr . tuvo lugar el 4 de abril de 1968 .; 1968 ;Historia
La Constitución española actual se aprobó en 1978 .; 1978 ;Historia
La Guerra de Independencia española contra las fuerzas napoleónicas comenzó en 1808 .; 1808 ;Historia
El Desembarco de Normandía fue en 1944 .; 1944 ;Historia
La Guerra Fría inició en 1947 .; 1947 ;Historia
La Segunda República española se proclamó en 1931 .; 1931 ;Historia
La Revolución Mexicana comenzó en 1910 .; 1910 ;Historia
La Constitución de Cádiz, La Pepa, se promulgó en 1812 .; 1812 ;Historia
El estado de alarma en España debido a la pandemia del COVID-19 se declaró en 2020 .; 2020 ;General
Luis XVI fue ejecutado durante la Revolución Francesa .; Francesa ;Historia
Nikita Jruschov sucedió a Stalin después de su muerte .; Nikita ;Historia
George Washington fue el primer presidente de los Estados Unidos de América .; primer ;Historia
Simón Bolívar lideró la lucha por la independencia de Venezuela en el siglo XIX .; XIX ;Historia
Charles de Gaulle dirigió a Francia durante la Segunda Guerra Mundial .; Segunda ;Historia
Martín Lutero inició la Reforma Protestante en el siglo XVI .; XVI ;Historia
Fidel Castro lideró la Revolución Cubana en el siglo XX .; XX ;Historia
Luis XIV ordenó la construcción del Palacio de Versalles .; XIV ;Historia
Luis XIV ordenó la construcción del Palacio de Versalles .; Versalles ;Historia
Vasco da Gama descubrió la ruta marítima hacia la India en el siglo XV .; XV ;Historia
Vasco da Gama descubrió la ruta marítima hacia la India en el siglo XV .; Vasco ;Historia
Ignacio de Loyola fundó la Orden de los Jesuitas en el siglo XVI .; XVI ;Historia
Vladimir Lenin lideró la Revolución Rusa en el siglo XX .; XX ;Historia
Vladimir Lenin lideró la Revolución Rusa en el siglo XX .; Rusa ;Historia
Franklin D . Roosevelt lideró los Estados Unidos durante la Segunda Guerra Mundial .; Segunda ;Historia
Nelson Mandela fue el primer presidente de Sudáfrica elegido democráticamente tras el fin del apartheid .; Nelson ;Historia
Nelson Mandela fue el primer presidente de Sudáfrica elegido democráticamente tras el fin del apartheid .; apartheid ;Historia
Genghis Khan fue el líder del imperio mongol que conquistó gran parte de Asia en el siglo XIII .; XIII ;Historia
Mahatma Gandhi lideró el movimiento de independencia de la India .; Gandhi ;Historia
Emiliano Zapata fue el líder de la Revolución Mexicana en el siglo XX .; XX ;Historia
Adriano ordenó la construcción del Panteón de Roma .; Panteón ;Historia
José Martí lideró el movimiento de independencia de Cuba contra España .; Cuba ;Historia
El Cid Campeador se llamaba en realidad Rodrigo Díaz de Vivar .; Rodrigo ;Historia
Galileo Galilei propuso la teoría heliocéntrica en el siglo XVI .; XVI ;Historia
Galileo Galilei propuso la teoría heliocéntrica en el siglo XVI .; heliocéntrica ;Historia
Miguel de Unamuno pronunció la frase Venceréis, pero no convenceréis .; convenceréis ;Historia
Leonardo da Vinci dibujó al famoso Hombre de Vitruvio .; Vitruvio ;Historia
China fue la civilización que comenzó a utilizar papel moneda como billetes de pago .; papel ;Historia
China fue la civilización que comenzó a utilizar papel moneda como billetes de pago .; China ;Historia
Miguel de Cervantes combatió en la Batalla de Lepanto .; Lepanto ;Historia
El incidente que desencadenó la Primera Guerra Mundial fue el asesinato del archiduque Francisco Fernando de Austria en Sarajevo el 28 de junio de 1914 .; 1914 ;Historia
En el cuadro Las Meninas de Velázquez, aparecen el rey Felipe IV y su esposa Mariana de Austria .; Meninas ;Arte
Cristóbal Colón y las tres carabelas partieron del Puerto de Palos de la Frontera actualmente en Huelva .; Huelva ;Historia
El levantamiento que acabó con la dictadura de Salazar en Portugal fue la revolución de los claveles en 1974 .; 1974 ;Historia
El único mamífero que puede volar es el murciélago .; murciélago ;Biología
Los océanos de la Tierra son el Pacífico, Atlántico, Índico, Glacial Ártico y Glacial Antártico .; Pacífico ;Geografía
Un lustro equivale a cinco años .; cinco ;Ciencia
América fue descubierta el 12 de octubre de 1492 .; 1492 ;Historia
El resultado de la multiplicación se llama producto .; multiplicación ;Matemáticas
La Odisea fue escrita por Homero .; Odisea ;Literatura
Los peces respiran a través de las branquias .; branquias ;Literatura
El triángulo que tiene tres lados desiguales se llama triángulo escaleno .; escaleno ;Matemáticas
El lagarto más grande del mundo es el dragón de Komodo .; lagarto ;Biología
La Primera Guerra Mundial duró 4 años, de 1914 a 1918 .; 1914 ;Historia
La Primera Guerra Mundial duró 4 años, de 1914 a 1918 .; 1918 ;Historia
Todas las guerras mundiales han pasado en los paises cristianos .; cristianos ;Historia
Todas las guerras mundiales han pasado en los paises Europeos .; Europeos ;Historia
La primera civilización humana fue la civilización sumeria .; civilización ;Historia
Rusia ostenta la posición de mayor extensión territorial en el mundo .; territorial ;Geografía
China es el país con la población más numerosa en la Tierra .; China ;Geografía
Nueva York es reconocida como la metrópoli de los rascacielos .; metrópoli ;Geografía
Nueva York es reconocida como la metrópoli de los rascacielos .; rascacielos ;Geografía
Nueva York es reconocida como la metrópoli de los rascacielos .; York ;Geografía
El continente más extenso en la faz del planeta es Asia .; Asia ;Geografía
Italia lidera la producción mundial de vino .; vino ;Geografía
1 milla equivale aproximadamente a 1 .60934 kilómetros .; milla ;Ciencia
Las notas musicales se escriben en el pentagrama .; pentagrama ;Música
Las plantas producen dióxido de carbono por la noche .; dióxido ;Ciencia
Las plantas producen dióxido de carbono por la noche .; noche ;Ciencia
Las partes de un átomo son la corteza y el núcleo .; núcleo ;Ciencia
Las partes de un átomo son la corteza y el núcleo .; corteza ;Ciencia
Los animales que nacen del vientre de la madre se llaman vivíparos .; vivíparos ;Biología
Los estados de la materia son sólido, líquido y gaseoso .; sólido ;Ciencia
Los estados de la materia son sólido, líquido y gaseoso .; líquido ;Ciencia
Los estados de la materia son sólido, líquido y gaseoso .; gaseoso ;Ciencia
Los gallos no ponen huevos .; huevos ;Biología
El planeta está principalmente formado por agua .; agua ;Geografía
Un año tiene 365 días, y 366 si es bisiesto .; bisiesto ;General
El movimiento que hace el corazón se llama ritmo, impulso cardíaco o latido .; corazón ;biologia
Una oración necesita un verbo para estar completa .; completa ;General
La línea imaginaria que divide la tierra en dos mitades es el Ecuador .; Ecuador ;Geografía
Romeo y Julieta fue escrito por Shakespeare .; Shakespeare ;Literatura
El sol sale por el Este .; Este ;Geografía
El agua se evapora a 100ºC .; evapora ;Ciencia
Sinónimo significa que dos palabras tienen el mismo significado .; significado ;General
Los animales se clasifican en cinco reinos: animales, vegetales, hongos, protoctistas y móneras (bacterias) .; cinco ;Biología
Un número primo es divisible únicamente por uno o por sí mismo .; primo ;Matemáticas
Las edades de la historia de la humanidad son Prehistoria, Edad Antigua, Edad Media, Edad Moderna y Edad Contemporánea .; Prehistoria ;Historia
Las edades de la historia de la humanidad son Prehistoria, Edad Antigua, Edad Media, Edad Moderna y Edad Contemporánea .; Antigua ;Historia
Las edades de la historia de la humanidad son Prehistoria, Edad Antigua, Edad Media, Edad Moderna y Edad Contemporánea .; Media ;Historia
Las edades de la historia de la humanidad son Prehistoria, Edad Antigua, Edad Media, Edad Moderna y Edad Contemporánea .; Moderna ;Historia
Las edades de la historia de la humanidad son Prehistoria, Edad Antigua, Edad Media, Edad Moderna y Edad Contemporánea .; Contemporánea ;Historia
El murciélago es el único mamífero que puede volar .; volar ;Biología
La Antártida es el lugar más frío de la tierra .; frío ;Geografía
El Amazonas es el río más largo del mundo .; largo ;Geografía
Además del castellano, el catalán, euskera y gallego son idiomas cooficiales en España .; idiomas ;Geografía
Los animales que nacen del huevo se llaman vivíparos .; vivíparos ;Biología
Los animales que nacen del huevo se llaman vivíparos .; huevo ;Biología
El río más largo de Europa es el Volga .; río ;Geografía
La Mona Lisa o Gioconda fue pintada por Leonardo da Vinci .; Gioconda ;Arte
La democracia nació en la Antigua Grecia .; Grecia ;Historia
El satélite natural de la Tierra es la Luna .; Luna ;Astronomía
Un polígono de 6 lados se llama hexágono .; hexágono ;Matemáticas
El conjunto de montañas que forman una unidad se llama cordillera .; cordillera ;Geografía
La suma de los ángulos de un triángulo es 180º .; triángulo ;Matemáticas
El monte más alto de Europa es Elbrus .; Elbrus ;Geografía
Un dromedario tiene una joroba, mientras que un camello tiene dos .; camello ;Biología
El archipiélago de las islas Canarias está compuesto por ocho islas .; islas ;Geografía
Rusia es el país más grande del mundo .; Rusia ;Geografía
Una narración está formada por planteamiento, nudo y desenlace .; narración ;Literatura
Podemos calcular el lado de un triángulo rectángulo a través del teorema de Pitágoras .; Pitágoras ;Matemáticas
Podemos calcular el lado de un triángulo rectángulo a través del teorema de Pitágoras .; triángulo ;Matemáticas
Las principales funciones de los seres vivos son reproducción, relación y nutrición .; reproducción ;Biología
Vincent Van Gogh perdió una oreja .; oreja ;Arte
Los trenes eléctricos no emiten humo .; eléctricos ;General
Los continentes actuales estaban unidos en el supercontinente Pangea .; Pangea ;Geografía
Una brújula apunta hacia el norte magnético terrestre .; magnético ;Geografía
Las palabras se clasifican en agudas, llanas y esdrújulas según la sílaba tónica .; sílaba ;General
Existen siete notas musicales: do, re, mi, fa, sol, la y si .; si ;Música
La escritura surgió alrededor del 4000 a .C . en Egipto, Mesopotamia y China .; Egipto ;Historia
La escritura surgió alrededor del 4000 a .C . en Egipto, Mesopotamia y China .; Mesopotamia ;Historia
La escritura surgió alrededor del 4000 a .C . en Egipto, Mesopotamia y China .; China ;Historia
Una bahía y un cabo se diferencian por cómo el agua interactúa con el terreno .; bahía ;Geografía
Una bahía y un cabo se diferencian por cómo el agua interactúa con el terreno .; cabo ;Geografía
Un siglo tiene 20 lustros .; lustros ;Matemáticas
El ciclo del agua es el proceso por el cual el agua se transforma y circula por la Tierra .; agua ;Ciencia
Los perros provienen del lobo .; lobo ;Biología
El solsticio de invierno marca el inicio del invierno en el hemisferio norte, el 21 de diciembre .; hemisferio ;Astronomía
El hombre llegó a la Luna en 1969 .; 1969 ;Historia
Un tablero de ajedrez tiene 64 casillas, 32 blancas y 32 negras .; casillas ;Cultura
Un tablero de ajedrez tiene 64 casillas, 32 blancas y 32 negras .; blancas ;Cultura
Un tablero de ajedrez tiene 64 casillas, 32 blancas y 32 negras .; negras ;Cultura
El sistema nervioso está compuesto por neuronas .; neuronas ;Biología
El arco más grande del planeta es el arcoíris .; arcoíris ;Ciencia
Las tortugas marinas pueden vivir hasta 100 años .; tortugas ;Biología
Albert Einstein fue un famoso físico que propuso la Teoría de la Relatividad .; Relatividad ;Física
Las cuatro estaciones son primavera, verano, otoño e invierno .; primavera ;Geografía
Las cuatro estaciones son primavera, verano, otoño e invierno .; otoño ;Geografía
Las cuatro estaciones son primavera, verano, otoño e invierno .; invierno ;Geografía
Isaac Newton descubrió la gravedad al observar caer una manzana de un árbol .; gravedad ;Física
El eco es el único capaz de hablar todos los idiomas del mundo .; eco ;Ciencia
Italia tiene la forma de una bota .; bota ;Geografía
Thomas Alva Edison inventó la bombilla .; bombilla ;historia
El canguro es el animal más común de Australia .; Australia ;Biología
Un poema es una composición literaria escrita en verso .; verso ;Literatura
Mezclando azul y amarillo se obtiene el color verde .; verde ;Arte
El año 1899 pertenece al siglo XIX .; XIX ;Historia
Un minuto tiene 60 segundos .; segundos ;Ciencia
El Titanic se hundió tras chocar con un iceberg .; iceberg ;Historia
Un metro tiene 100 centímetros .; centímetros ;Ciencia
Los árboles de hoja perenne no pierden sus hojas, mientras que los de hoja caduca las renuevan a lo largo del año .; perenne ;Biología
Un cubo tiene seis caras .; seis  ;Matemáticas
Un año bisiesto ocurre cada cuatro años, agregando un día más a febrero .; bisiesto ;General
Cleopatra fue la última faraona egipcia .; Cleopatra ;Historia
La jirafa tiene el cuello más largo entre los animales .; jirafa ;Biología
La escritura en el Antiguo Egipto era jeroglífica .; jeroglífica ;Historia
Los principales movimientos de la Tierra son la traslación y la rotación .; traslación ;Astronomía
La velocidad del sonido es de 343,2 m/s .; sonido ;Física
Un cuarteto de cuerda está compuesto por dos violines, una viola y un violonchelo .; violines ;Música
La atmósfera está compuesta por un 21% de oxígeno, un 78% de nitrógeno y pequeñas cantidades de CO2 y vapor de agua .; CO2 ;Química
La atmósfera está compuesta por un 21% de oxígeno, un 78% de nitrógeno y pequeñas cantidades de CO2 y vapor de agua .; nitrógeno ;Química
La atmósfera está compuesta por un 21% de oxígeno, un 78% de nitrógeno y pequeñas cantidades de CO2 y vapor de agua .; oxígeno ;Química
El sonido que emite una oveja se llama balido .; balido ;Biología
La estrella polar señala hacia el norte .; norte ;Astronomía
La fórmula química del agua es H2O .; agua ;Química
La temperatura más baja registrada es -273,14°C .; temperatura ;Física
El primer viaje a la Luna se lanzó en 1969 .; 1969 ;Astronomía
El país más grande del mundo es Rusia .; Rusia ;Geografía
la tabla periódica tiene elemento en total de 118 .; periódica ;Química
Sicilia es la isla más grande del Mediterráneo .; Sicilia ;Geografía
Sicilia es la isla más grande del Mediterráneo .; Mediterráneo ;Geografía
Un humano promedio tiene 12 pares de costillas .; 12 ;Biología
El tiempo estimado del Universo es de 13 .800 millones de años .; Universo ;Astronomía
La película Titanic se estrenó en 1997 .; 1997 ;Cultura
El continente más seco de la Tierra es la Antártida .; Antártida ;Geografía
Los huevos Fabergé son originarios de Rusia .; Fabergé ;Historia
La plaza de Tiananmen está en Pekín .; Tiananmen ;Geografía
La plaza de Tiananmen está en Pekín .; Pekín ;Geografía
El cóctel mojito es originario de Cuba .; Cuba ;Cultura
El sake japonés está hecho de la fermentación de arroz y agua .; arroz ;Cultura
El sake japonés está hecho de la fermentación de arroz y agua .; sake ;Cultura
La pintura más cara vendida hasta la actualidad es el Salvator Mundi de Leonardo da Vinci .; Salvator ;Arte
El cabo que se encuentra en la punta del continente africano es el Cabo de Buena Esperanza .; Esperanza ;Geografía
Newton publicó su Principia en 1687 .; 1687 ;historia
Alejandro Magno conquistó Egipto en el año 332 a .C .; Egipto ;Historia
El monte Fuji se encuentra en Japón .; Fuji ;Geografía
El croissant es originario de Austria .; Austria ;Cultura
La luna más grande de Saturno es Titán .; Titán ;Astronomía
Rusia tiene 11 husos horarios .; horarios ;Geografía
El país con la mayor cantidad de islas en su territorio es Suecia .; Suecia ;Geografía
La cordillera más larga del mundo es la cordillera de los Andes .; Andes ;Geografía
A la Ciudad de Nueva York los locales le llaman Gotham .; Gotham ;Geografía
Un piano tiene 88 teclas .; teclas ;Música
Los primeros Juegos Olímpicos modernos se celebraron en 1896 .; 1896 ;Cultura
Los primeros Juegos Olímpicos modernos se celebraron en Atenas .; Atenas ;Cultura
Un adulto promedio tiene 206 huesos .; huesos ;biologia
El animal más rápido del planeta es el halcón .; halcón ;Biología
La videoconsola más vendida en la historia es PlayStation .; PlayStation ;Cultura
El primer elemento de la tabla periódica es el hidrógeno .; hidrógeno ;Química
Alexander Fleming descubrió la penicilina .; penicilina ;Historia 
El trabajo sobre el efecto fotoeléctrico le valió a Einstein el Nobel de Física en 1921 .; 1921 ;Historia
